openbeta_id,betabook_id,openbeta_name,betabook_name,type,openbeta_grade,betabook_grade_ordinal,grade_gap,name_kind,source_path,betabook_path,area_alias,area_alias_whole_ratio,independent_path_support_count,independent_review_support_count,independent_accepted_support_count,tier
00071497-ba2a-4340-9822-099701bfe271,16501,One for the Queen,One for the Queen,boulder,v1,2,0,exact,Canada > British Columbia > Squamish > Stawamus Chief > North Wall Boulders,North America > Canada > British Columbia > Squamish > North Walls > Action Man,north walls,95.2,53,53,0,exact_grade
0044bdb1-18c3-4edf-a431-d9aeb272ffe5,66670,Rhino Face,Rhino Face,boulder,v3,3,1,exact,Canada > British Columbia > Squamish > Stawamus Chief > North Wall Boulders,North America > Canada > British Columbia > Squamish > North Walls > The Farm,north walls,95.2,54,54,0,near_grade
004e295a-fbd2-4231-b398-a71342904e9d,139990,Kickback,Kickback,boulder,v0,1,0,exact,Canada > British Columbia > Squamish > Stawamus Chief > North Wall Boulders,North America > Canada > British Columbia > Squamish > North Walls > The Clean Boulders > Death star,north walls,95.2,53,53,0,exact_grade
00ceb1cc-77eb-5e8c-926d-36929017cb64,58509,Bombardino,Bombardino,sport,5.11d,17,0,exact,"United States > West Virginia > New River Gorge, The > Summersville (Gauley River) Area > Summersville Lake (main)",North America > United States > West Virginia > New River Gorge > Summersville Lake > Long wall,summersville lake,87.2,44,44,0,exact_grade
00f930b1-4f9e-5257-85c6-219621bf7bec,106505,Orange Oswald,Orange oswald,sport,5.10a,10,0,exact,"United States > West Virginia > New River Gorge, The > Summersville (Gauley River) Area > Summersville Lake (main)",North America > United States > West Virginia > New River Gorge > Summersville Lake,summersville lake,87.2,44,44,0,exact_grade
01b8136a-3018-5482-99d8-19b1853c8be0,22046,Tequila Sunset,Tequila Sunset,boulder,V4,5,0,exact,United States > Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon,North America > United States > Utah > Little Cottonwood,little cottonwood,82.9,41,41,0,exact_grade
030f9c7e-988e-4e72-940d-7a5b436ad0c1,16510,Element of Crime,Element of Crime,sport,5.12b,18,1,exact,Canada > Alberta > Banff National Park > Radium Highway (92 South) > Stanley Headwall (Rock),North America > Canada > Alberta > Banff National Park > Stanley Headwall > Stanley Sport > Gery's Wall,stanley headwall,86.5,11,11,0,near_grade
0351044e-5af7-470d-87ed-59cbef7d71d1,1700,New Sheriff in Town,New Sheriff in Town,boulder,v1-,1,1,exact,Canada > British Columbia > Squamish > Stawamus Chief > North Wall Boulders,North America > Canada > British Columbia > Squamish > North Walls > Lower Sheriff's Badge Trail,north walls,95.2,54,54,0,near_grade
0396c995-18e1-4edc-ad63-31c0275f1e26,3804,Robins Span,Robins Span,boulder,v3-4,4,0,exact,Canada > British Columbia > Fraser Valley > The Stacks > Lower Right Stacks,North America > Canada > British Columbia > Fraser Valley > Hope > The Stacks > Lower Stacks > Lower Right,lower stacks,80.0,19,19,0,exact_grade
03a863bd-427a-44c5-968c-0556e2a903b1,21007,Napping Caribou,Napping Caribou,boulder,v4,5,0,exact,Canada > British Columbia > Fraser Valley > The Stacks > Lower Right Stacks,North America > Canada > British Columbia > Fraser Valley > Hope > The Stacks > Lower Stacks > Lower Right,lower stacks,80.0,19,19,0,exact_grade
03abc81b-92d3-55e7-835c-f7d7b965ef07,92764,Hot Monkey Love,Hot Monkey Love,sport,5.11a,14,0,exact,United States > Oregon > Central Oregon > Smith Rock > (l) Christian Brothers,North America > United States > Oregon > Smith Rock > Christian Brothers,christian brothers,94.7,20,20,0,exact_grade
03fe3bae-c763-5016-a3da-42140cba7d15,133254,Errors of Our Ways,Errors of Our Ways,sport,5.6,7,1,exact,United States > Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon,North America > United States > Utah > Big Cottonwood,big cottonwood,80.0,42,42,0,near_grade
046bae28-b231-55cf-8c00-69a57cef75f4,36858,Irreverence,Irreverence,sport,5.10a,10,0,exact,United States > Oregon > Central Oregon > Smith Rock > (l) Christian Brothers,North America > United States > Oregon > Smith Rock > Christian Brothers,christian brothers,94.7,20,20,0,exact_grade
0470653e-2af3-51ed-af43-daa7059d5202,22418,Mystic Void,Mystic Void,sport,5.10a,10,0,exact,United States > Oregon > Portland & The Gorge > Broughton Bluff > (6) Bat Wall,North America > United States > Oregon > Broughton Bluff > Bat Wall,bat wall,88.9,7,7,0,exact_grade
053e8dbe-3977-4561-9465-ba99c5513dea,8526,Compulsiveness,Compulsiveness,boulder,v4,5,0,exact,Canada > British Columbia > Squamish > Stawamus Chief > North Wall Boulders,North America > Canada > British Columbia > Squamish > North Walls > Swamp Thing,north walls,95.2,53,53,0,exact_grade
05e0e120-d4df-51d2-a568-94ee4f2ed199,65016,Tobacco Road,Tobacco Road,sport,5.12a/b,19,1,exact,"United States > West Virginia > New River Gorge, The > Summersville (Gauley River) Area > Summersville Lake (main)",North America > United States > West Virginia > New River Gorge > Summersville Lake > The Coliseum,summersville lake,87.2,45,45,0,near_grade
05f57ffa-1080-503d-b5e4-78a4b3db651c,118139,Stemming the Tide,Stemming the Tide,sport,5.10d,13,0,exact,United States > Utah > Southwest Utah > Saint George > Crawdad Canyon / Veyo,North America > United States > Utah > St. George > Crawdad Canyon,crawdad canyon,84.8,41,41,0,exact_grade
05ff66ef-9dbc-5a6d-a712-64735cb35e46,21661,The Backbone,The Backbone,sport,5.13a,22,0,exact,United States > Oregon > Central Oregon > Smith Rock > (s) Monkey Face,North America > United States > Oregon > Smith Rock > Monkey Face,monkey face,91.7,3,3,0,exact_grade
