openbeta_path,existing_area_id,min_matched_routes,evidence,confidence,source_url
Canada > British Columbia > Kootenays West > Nelson > Bealby Boulders,8585,2,"Another Roadside Distraction, Banana Hammock and Canadian Pacific match 8585; source points cluster tightly at 49.515–49.516,-117.262–-117.264 for old and new routes.",high,
Canada > British Columbia > Kootenays West > Rossland > Rossland - Better Than Nothing,3660,2,"Ambidextrous, Chain of Fools, Short People Have More Fun and Way Better Than Nothing match original Better Than Nothing 3660; source gives Rossland ancestor.",high,
Canada > British Columbia > Squamish > Shannon Falls > Shannon Springs Wall,5989,2,"Arctic Outflow, Call Sign, Magic Bean Juice and Troposphere match Shannon Springs 5989; OpenBeta adds the more precise Shannon Falls parent and Wall descriptor.",high,
Canada > British Columbia > Squamish > Stawamus Chief > North Wall Boulders,5960,2,"Space Monkey, Rhino Face, New Sheriff in Town and 64 other source routes match 11 child crags of 5960; 10938 is a second branch with 3 direct climbs.",high,
Canada > Ontario > Ontario South Bouldering and Rock > Lion's Head > Lady Slipper Wall,5815,2,"Free Pelletier, Honey Badger and Lady slipper match original 5815; source adds Wall suffix at same Lion’s Head parent.",high,
Canada > Quebec > Lanaudiere > Lac du Cap > Banlieue,6769,2,"La Banlieue and Banlieue differ by the French article; Acte Patriotique, Feu d’Automne and Le Kraken match original 6769. Source GPS is identical for all these routes.",high,
United States > New York > Adirondacks > H: Southern Mountains > Nine Corner Lake,4696,2,17 accepted source matches to original Nine Corners Lake 4696; source branch 21642 has 84 new routes. Same lake in Southern Adirondacks.,high,https://www.mountainproject.com/area/106229917/nine-corner-lake
United States > North Carolina > 3. Piedmont Region > Crowders Mountain > Dixon School Boulders,4680,2,6 source matches to original Dixon School Road Boulders 4680; 83 new in source area 22207. Carolina Climbers Coalition says boulders are part of Crowders Mountain State Park.,high,https://carolinaclimbers.org/climbing-areas/dixonschool.html
United States > Utah > Wasatch Range > Central Wasatch > Big Cottonwood Canyon,4282,2,53 accepted route overlaps from source to old Big Cottonwood; 777 new climbs in sibling source area 25669. MP places canyon in Central Wasatch.,high,https://www.mountainproject.com/area/119383419/central-wasatch
United States > Utah > Wasatch Range > Central Wasatch > Little Cottonwood Canyon,4263,2,50 accepted overlaps to original Little Cottonwood; 1451 new climbs in sibling area 25676. MP confirms path.,high,https://www.mountainproject.com/area/105739277/little-cottonwood-canyon
"United States > West Virginia > New River Gorge, The > Summersville (Gauley River) Area > Summersville Lake (main)",7617,2,"49 source matches go to original Summersville Lake 7617 (96 subtree climbs), 46 new in source branch; MP describes main north shore within Gauley River drainage.",high,https://www.mountainproject.com/area/105989762/summersville-gauley-river-area
United States > California > Joshua Tree National Park > Wonderland of Rocks > Wonderland North,9311,3,Eight accepted source routes link to original Wonderland of Rocks North; North is the same geographic subsection with 299 held new routes.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park
United States > California > Joshua Tree National Park > Wonderland of Rocks > Wonderland South,9312,2,Four accepted source routes link to original Wonderland of Rocks South; South is the same geographic subsection with 230 held new routes.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park
United States > Washington > Northeast Corner & Spokane > Spokane Area > Tum Tum,4550,3,Five accepted source routes link to original Tum Tum WA; Mountain Project lists Tumtum within Spokane Area.,high,https://www.mountainproject.com/area/106460904/spokane-area
United States > Utah > Southwest Utah > Saint George > Crawdad Canyon / Veyo,7192,20,Forty-eight accepted source routes link to original Crawdad Canyon; Mountain Project calls the same canyon Crawdad Canyon / Veyo.,high,https://www.mountainproject.com/area/105788851/crawdad-canyon-veyo
