climb_id,climb_name,climb_type,grade_ordinal,expected_area_id,target_area_id,evidence,source_url
40,Sanctuary,sport,17,10085,9711,Mountain Project places Sanctuary at Halfway House rather than the duplicate nested Capone Wall.,https://www.mountainproject.com/area/106059545/rogues-gallery
12420,Body Snap,boulder,5,218,22637,Body Snap base climb belongs in Colflesh Area; preserve it separately from Body Snap Sit.,https://www.8a.nu/crags/bouldering/united-states/gretna/routes
110528,Surf Report SDS,boulder,7,634,20965,Surf Report SDS belongs on Surf Report Boulder; preserve it separately from stand Surf Report.,https://www.mountainproject.com/area/106803637/surf-report-boulder
40891,the road less traveled,sport,23,433,15909,"The Road Less Traveled belongs at Deer Creek Crag, within Deer Creek Canyon.",https://www.mountainproject.com/area/105746614/deer-creek-crag
28292,Fly My Pretties,sport,19,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
58119,Moses,sport,21,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
64698,Jugular,sport,19,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
66367,Rua Tahi P2,sport,19,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
66622,Little Lucifer,sport,19,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
71202,Xerxes,sport,24,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
71704,Solitude,sport,18,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
71960,International Turkey Patrol,sport,18,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
72986,Hercules,sport,23,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
73238,No Country For Old Men,sport,23,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
73469,Hey Zeus,sport,23,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
77258,Jesus Built My Hotrod,sport,22,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
82416,Crystal Method,sport,21,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
82683,Bish Bosh Bash Etxn,sport,21,3390,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
40233,Hercules,sport,24,426,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
40504,Hey Zeus,sport,23,426,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
40772,No Country For Old Men,sport,23,426,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
42540,Bish Bush Bash,sport,21,426,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
42795,Moses,sport,21,426,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
105546,Xerxes,sport,25,426,3391,NZ Alpine Club Darrans guide lists this original route at Little Babylon rather than broad Babylon/Darrans; preserve pitch and start variants.,https://alpineclub.org.nz/sites/default/files/2022-01/Darrans_Cleddau_Valley_24.01.22.pdf
132647,Fawlty Towers extension,sport,16,9711,9712,The first-hand Fawlty Towers record describes the extension on the Capone Wall line inside Halfway House; preserve extension as a separate climb ID.,https://sendage.com/climb/fawlty-towers-halfway-house-rogues-gallery-cheakamus-canyon-squamish-bc-canada
