openbeta_id,original_climb_id,new_climb_id,original_name,new_name,type,original_grade_ordinal,new_grade_ordinal,expected_original_area_id,expected_new_area_id,relationship,original_area_path,new_area_path,source_path,source_url,evidence
01d27125-bfa1-56e0-990f-a88c0d81dd11,70954,142258,Throwin' the Drool Again,Throwin' The Drool Again,sport,14,14,954,954,same_area,North America > United States > Colorado > Keystone a.k.a. Montezuma > Haus Rock,North America > United States > Colorado > Keystone a.k.a. Montezuma > Haus Rock,United States > Colorado > Keystone a.k.a. Montezuma > Haus Rock,,Unique original with same normalized name/start and type in the same final area. Grade difference 0; the imported ID has no user history.
01f5acae-b5b8-54aa-927f-94a28778172a,42070,142351,Prow Problem,Prow Problem,boulder,7,7,4454,15921,new_descendant,North America > United States > Colorado > Morrison/Evergreen/Littleton > Matthews Winters Park,North America > United States > Colorado > Morrison/Evergreen/Littleton > Matthews Winters Park > Millennium Boulder,"United States > Colorado > Morrison/Evergreen/Littleton > Matthews-Winters Park > Millenium Boulder, The",,Unique original at an ancestor; source identifies a more specific descendant. Move original there. Grade difference 0; the imported ID has no user history.
0268713f-6686-51b6-af80-a0c0609f989b,76995,142598,Between the lines,Between the lines,boulder,4,5,1194,25068,old_descendant,North America > United States > Utah > Southwest Utah > Cedar City > Cedar Canyon > Cedar Slide,North America > United States > Utah > Southwest Utah > Cedar City > Cedar Canyon,United States > Utah > Southwest Utah > Cedar City > Cedar Canyon,,Unique original already at a more specific descendant than the source route. Grade difference 1; the imported ID has no user history.
06374c55-0bf5-523e-9d68-3e1639e50968,129585,144849,In The Middle,In The Middle,sport,14,14,26550,26550,same_area,"North America > United States > Wyoming > Cody > Upper Bridge Bands > Hideout Wall, The","North America > United States > Wyoming > Cody > Upper Bridge Bands > Hideout Wall, The","United States > Wyoming > Cody > Upper Bridge Bands > Hideout Wall, The",,Unique original with same normalized name/start and type in the same final area. Grade difference 0; the imported ID has no user history.
07417e9b-8acb-5015-89aa-779d382f3c04,98066,145434,Stimulus Package,Stimulus Package,sport,18,17,546,546,same_area,North America > United States > Colorado > Glenwood Springs > Main Elk Creek > Pup Tent of Solitude,North America > United States > Colorado > Glenwood Springs > Main Elk Creek > Pup Tent of Solitude,United States > Colorado > Glenwood Springs > Main Elk Creek > Pup Tent of Solitude,,Unique original with same normalized name/start and type in the same final area. Grade difference 1; the imported ID has no user history.
08505013-0f18-5269-bfc8-0173772fb13f,41745,146109,If,If,sport,23,23,13379,13382,new_descendant,North America > United States > California > Redwood Coast > Trinity Arêtes,North America > United States > California > Redwood Coast > Trinity Arêtes > Paisano Buttress,United States > California > Redwood Coast > Trinity Arêtes > Paisano Buttress,,Unique original at an ancestor; source identifies a more specific descendant. Move original there. Grade difference 0; the imported ID has no user history.
0af7ea8a-89b4-52f5-a9d1-2aa7c80b0b78,95455,147615,Virgin Lemonade,Virgin Lemonade,sport,11,10,1726,1726,same_area,North America > United States > Iowa > Pictured Rocks > Wild Iowa Wall,North America > United States > Iowa > Pictured Rocks > Wild Iowa Wall,United States > Iowa > Pictured Rocks > Wild Iowa Wall,,Unique original with same normalized name/start and type in the same final area. Grade difference 1; the imported ID has no user history.
10b8eee5-8c96-54a8-bfaf-e08412658d29,102553,150975,Breakout,Breakout,boulder,5,5,24366,24376,new_descendant,North America > United States > Texas > Nolan River,North America > United States > Texas > Nolan River > Quality Crontrol cliff band,United States > Texas > Nolan River > Quality Crontrol cliff band,,Unique original at an ancestor; source identifies a more specific descendant. Move original there. Grade difference 0; the imported ID has no user history.
116cc385-b35c-5233-82a7-55363c6d4853,75294,151377,Centaur,Centaur,sport,20,21,20748,20754,new_descendant,North America > United States > New Mexico > Jemez Mountains and Jemez Valley > Upper East Fork (UEF),North America > United States > New Mexico > Jemez Mountains and Jemez Valley > Upper East Fork (UEF) > Monster Wall,United States > New Mexico > Jemez Mountains and Jemez Valley > Upper East Fork (UEF) > Monster Wall,,Unique original at an ancestor; source identifies a more specific descendant. Move original there. Grade difference 1; the imported ID has no user history.
132af8da-dd1f-532a-940e-8bf3ba1f3899,9361,152449,Turtle Power,Turtle Power,boulder,4,4,24366,24377,new_descendant,North America > United States > Texas > Nolan River,North America > United States > Texas > Nolan River > Rattlesnake Wall,United States > Texas > Nolan River > Rattlesnake Wall,,Unique original at an ancestor; source identifies a more specific descendant. Move original there. Grade difference 0; the imported ID has no user history.
