area_id,expected_old_parent_id,parent_source_path,parent_existing_area_id,evidence,confidence,source_url,expected_parent_path
4023,98,United States > California > Sierra Eastside,,Bishop Area is within the Eastern Sierra; 693 graded source reviews have exact original route identity candidates.,high,https://www.mountainproject.com/area/106064825/bishop-area,North America > United States > California > Sierra Eastside
3612,84,Canada > British Columbia > Okanagan,,Skaha Bluffs is in the Okanagan; 442 graded source reviews overlap original Skaha routes.,high,https://www.mountainproject.com/area/105946462/skaha-bluffs,North America > Canada > British Columbia > Okanagan
3614,84,Canada > British Columbia > Okanagan,,Kelowna is in the Okanagan; original climbs overlap Okanagan source paths.,high,https://www.mountainproject.com/area/105934003/okanagan,North America > Canada > British Columbia > Okanagan
4523,109,"United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth",,Only child Lake Valhalla lies east of Stevens Pass; Treasury west of the pass was separately placed in Skykomish Valley.,high,https://www.wta.org/go-hiking/hikes/lake-valhalla,"North America > United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth"
4513,109,United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity,,North Bend is within the North Bend and Vicinity source region.,high,https://www.mountainproject.com/area/108471684/north-bend-vicinity,North America > United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity
4420,108,United States > Colorado > Boulder,,Boulder Canyon is in the Boulder climbing region; keep its original route subtree intact.,high,https://www.mountainproject.com/area/105744196/boulder-canyon,North America > United States > Colorado > Boulder
4426,108,United States > Colorado > Telluride/Norwood area,,Telluride is within the broader Telluride and Norwood climbing region.,high,https://www.mountainproject.com/area/105715318/telluride,North America > United States > Colorado > Telluride/Norwood area
3623,84,Canada > British Columbia > Sea to Sky (Squamish to Whistler),,"Whistler is within the Sea to Sky corridor, not a separate British Columbia peer.",high,https://www.mountainproject.com/area/105958219/sea-to-sky-squamish-to-whistler,North America > Canada > British Columbia > Sea to Sky (Squamish to Whistler)
4008,97,United States > Arizona > Northern Arizona,,Both Sedona source paths agree on Northern Arizona; do not place the mixed discipline original area under a Bouldering category.,high,https://www.mountainproject.com/area/105787787/northern-arizona,North America > United States > Arizona > Northern Arizona
3521,83,,3601,Gold Mine is inside The Nooks Boulders; 116 source routes already match original Gold Mine climbs.,high,https://www.mountainproject.com/area/classics/118166169/the-nooks-boulders,North America > Canada > Ontario > The Nooks
4400,106,United States > Pennsylvania > Southwestern Highlands,,OpenBeta G2 is a distinct child of Ghost Town within Southwestern Highlands; original Ghost Town ID and routes remain the parent.,high,https://www.mountainproject.com/climbing-near-me/dixonville-pa,North America > United States > Pennsylvania > Southwestern Highlands
4517,109,United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 34: Middle Fork & Taylor River,,Middle Fork is part of Exit 34 / North Bend climbing region.,high,https://www.mountainproject.com/area/108471684/north-bend-vicinity,North America > United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 34: Middle Fork & Taylor River
4526,109,United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 32 / Little Si,,Little Si is within Exit 32 / North Bend.,high,https://www.mountainproject.com/area/108471684/north-bend-vicinity,North America > United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 32 / Little Si
4561,109,United States > Washington > Central-West Cascades & Seattle,,Existing Snoqualmie Pass crags belong in the central-west climbing region.,high,https://www.mountainproject.com/area/105708966/washington,North America > United States > Washington > Central-West Cascades & Seattle
4551,109,United States > Washington > Central-West Cascades & Seattle > Skykomish Valley,,Deception Falls is in Skykomish Valley; source path agrees.,high,https://www.mountainproject.com/area/classics/108471672/skykomish-valley,North America > United States > Washington > Central-West Cascades & Seattle > Skykomish Valley
4544,109,United States > Washington > Southeast Cascades & Yakima > Tieton River,,Tieton routes are in the Tieton River climbing area.,high,https://www.mountainproject.com/area/105921237/tieton-river,North America > United States > Washington > Southeast Cascades & Yakima > Tieton River
4572,109,United States > Washington > Northeast Corner & Spokane,,Spokane is within Northeast Corner and Spokane region.,high,https://www.mountainproject.com/area/106460904/spokane-area,North America > United States > Washington > Northeast Corner & Spokane
4525,109,United States > Washington > Northwest Region > Bellingham and Mt Baker Hwy,,Larrabee State Park is near Bellingham.,high,https://parks.wa.gov/find-parks/state-parks/larrabee-state-park,North America > United States > Washington > Northwest Region > Bellingham and Mt Baker Hwy
4531,109,United States > Washington > Northwest Region > Hwy 20 and North Cascades National Park,,Washington Pass lies in Highway 20 / North Cascades climbing region.,high,https://www.mountainproject.com/area/105792192/washington-pass,North America > United States > Washington > Northwest Region > Hwy 20 and North Cascades National Park
4546,109,"United States > Washington > Northwest Region > San Juan, Fidalgo & Whidbey Islands",,Mount Erie is on Fidalgo Island.,high,https://www.mountainproject.com/area/106413714/mount-erie,"North America > United States > Washington > Northwest Region > San Juan, Fidalgo & Whidbey Islands"
4558,109,United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy,,Vesper Peak is in the Darrington and Mountain Loop corridor.,high,https://www.mountainproject.com/area/111130491/vesper-peak,North America > United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy
4568,109,United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy,,Mountain Loop Highway is in the named Darrington and Mountain Loop corridor.,high,https://www.mountainproject.com/area/105708966/washington,North America > United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy
4547,109,"United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth",,Wenatchee is in the Central-East Cascades climbing region.,high,https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth,"North America > United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth"
4552,109,"United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth",,Entiat is in the Central-East Cascades climbing region.,high,https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth,"North America > United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth"
4562,109,"United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth",,Teanaway is in the Central-East Cascades climbing region.,high,https://www.mountainproject.com/area/108471397/central-east-cascades-wenatchee-leavenworth,"North America > United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth"
4537,109,United States > Washington > Olympics & Pacific Coast,,Olympia is in the Olympics and Pacific Coast climbing region.,high,https://www.mountainproject.com/area/108471326/olympics-pacific-coast,North America > United States > Washington > Olympics & Pacific Coast
4548,109,United States > Washington > Olympics & Pacific Coast,,Jefferson Lake is in the Olympic Peninsula.,high,https://www.wta.org/go-hiking/hikes/jefferson-lake,North America > United States > Washington > Olympics & Pacific Coast
4549,109,United States > Washington > Olympics & Pacific Coast,,Lake Crescent lies in Olympic National Park.,high,https://www.mountainproject.com/area/119578045/lake-crescent,North America > United States > Washington > Olympics & Pacific Coast
4555,109,United States > Washington > Olympics & Pacific Coast,,Hamma Hamma River is on the Olympic Peninsula.,high,https://www.mountainproject.com/area/108471326/olympics-pacific-coast,North America > United States > Washington > Olympics & Pacific Coast
4575,109,United States > Washington > Olympics & Pacific Coast,,Elwha Wall is in the Elwha River valley on the Olympic Peninsula.,high,https://www.mountainproject.com/area/108471326/olympics-pacific-coast,North America > United States > Washington > Olympics & Pacific Coast
4574,109,United States > Washington > Northeast Corner & Spokane,,Onion Creek climbs are in northeastern Washington.,high,https://www.mountainproject.com/route/117842693/super-star-crack,North America > United States > Washington > Northeast Corner & Spokane
4564,109,United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy,,Lucid Boulders is a Darrington climbing area.,high,https://www.discoverdarrington.com/recreation/climbing/,North America > United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy
4573,109,United States > Washington > Southwest Cascades > Tacoma & I5 to Foothills,,Source Melmont boulders lies in the Tacoma to Foothills corridor.,high,https://www.mountainproject.com/route/119655826/the-real-cherry-cow-la,North America > United States > Washington > Southwest Cascades > Tacoma & I5 to Foothills
4519,109,,4525,Washington Climbers Coalition locates Lost Ledge within Larrabee State Park.,high,https://washingtonclimbers.org/index.php/2019/05/22/lost-ledge/,North America > United States > Washington > Northwest Region > Bellingham and Mt Baker Hwy > Larrabee State Park
